Date,Close
3/3/2015,135.4
3/4/2015,135.52
3/5/2015,134.9
3/6/2015,134.89
3/9/2015,135.39
3/10/2015,133.69
3/11/2015,134
3/12/2015,137.53
3/13/2015,136.17
3/16/2015,137.52
3/17/2015,136.96
3/18/2015,140.08
3/19/2015,140.1
3/20/2015,143.09
3/23/2015,145.32
3/24/2015,144.52
3/25/2015,143.81
3/26/2015,143.11
3/27/2015,142.4
3/30/2015,142.55
3/31/2015,139.89
4/1/2015,138.48
4/2/2015,140.02
4/6/2015,140.64
4/7/2015,139.72
4/8/2015,139.94
4/9/2015,139.91
4/10/2015,139.65
4/13/2015,137.56
4/14/2015,138.66
4/15/2015,139.08
4/16/2015,138.98
4/17/2015,138.43
4/20/2015,138.73
4/21/2015,141.33
4/22/2015,141.66
4/23/2015,141.03
4/24/2015,141.21
4/27/2015,140.66
4/28/2015,142.06
4/29/2015,140.79
4/30/2015,139.02
5/1/2015,139.96
5/4/2015,140.06
5/5/2015,137.55
5/6/2015,137.16
5/7/2015,137.92
5/8/2015,142.12
5/11/2015,137.45
5/12/2015,137.66
5/13/2015,136.62
5/14/2015,137.95
5/15/2015,139.37
5/18/2015,139.43
5/19/2015,139.53
5/20/2015,139.01
5/21/2015,139.44
5/22/2015,138.22
5/26/2015,137.7
5/27/2015,138.77
5/28/2015,139.74
5/29/2015,137.89
6/1/2015,137.24
6/2/2015,136.57
6/3/2015,137.44
6/4/2015,136.85
6/5/2015,135.51
6/8/2015,133.15
6/9/2015,132.3
6/10/2015,134.24
6/11/2015,135.18
6/12/2015,135.49
6/15/2015,135.51
6/16/2015,136.06
6/17/2015,134.87
6/18/2015,134.48
6/19/2015,134.02
6/22/2015,135.48
6/23/2015,137.1
6/24/2015,135.4
6/25/2015,134.87
6/26/2015,135.46
6/29/2015,132.45
6/30/2015,133.75
7/1/2015,133.6
7/2/2015,132.75
7/6/2015,132.73
7/7/2015,132.38
7/8/2015,128.11
7/9/2015,129.03
7/10/2015,131.52
7/13/2015,133.44
7/14/2015,133.45
7/15/2015,133.99
7/16/2015,135.77
7/17/2015,135.36
7/20/2015,135.54
7/21/2015,134.56
7/22/2015,133.99
7/23/2015,133.25
7/24/2015,132.55
7/27/2015,131.79
7/28/2015,131.84
7/29/2015,132.57
7/30/2015,132.27
7/31/2015,133.46
8/3/2015,133.18
8/4/2015,129.85
8/5/2015,128.31
8/6/2015,128.81
8/7/2015,129.95
8/10/2015,131.09
8/11/2015,129.01
8/12/2015,127.42
8/13/2015,127.79
8/14/2015,128.19
8/17/2015,127.87
8/18/2015,127.87
8/19/2015,126.04
8/20/2015,122.5
8/21/2015,119.05
8/24/2015,113.52
8/25/2015,113.37
8/26/2015,117.84
8/27/2015,119.57
8/28/2015,120.77
8/31/2015,118.38
9/1/2015,114.34
9/2/2015,117.62
9/3/2015,119.61
9/4/2015,116.5
9/8/2015,121.24
9/9/2015,120.62
9/10/2015,117.94
9/11/2015,117.1
9/14/2015,116.35
9/15/2015,119.96
9/16/2015,122
9/17/2015,121.24
9/18/2015,118.82
9/21/2015,119.43
9/22/2015,117.58
9/23/2015,117.51
9/24/2015,117.55
9/25/2015,118.51
9/28/2015,115.22
9/29/2015,114.25
9/30/2015,117.28
10/1/2015,118.34
10/2/2015,120.73
10/5/2015,122.32
10/6/2015,120.92
10/7/2015,122.71
10/8/2015,123.48
10/9/2015,122.6
10/12/2015,123.11
10/13/2015,121.07
